Inkdeath,Cornelia Funke,Fiction Young Adult Fantasy Adventure,September 28th 2007,699,Chicken House,English,1905294719,9781905294718,https://www.goodreads.com/book/show/2325825.Inkdeath,
The Death Cure,James Dashner,Young Adult Science Fiction Dystopia Science Fiction,October 11th 2011,325,Delacorte Books for Young Readers,English,0385738773,9780385738774,https://www.goodreads.com/book/show/7864437-the-death-cure,
I Shall Wear Midnight,Terry Pratchett,Fantasy Young Adult Fiction Humor,September 2nd 2010,349,Doubleday Childrens,English,0385611072,9780385611077,https://www.goodreads.com/book/show/7576115-i-shall-wear-midnight,
Next,Michael Crichton,Fiction Science Fiction Thriller,November 28th 2006,431,Harper,English,0060872985,9780060872984,https://www.goodreads.com/book/show/7661.Next,
A Fraction of the Whole,Steve Toltz,Fiction Cultural Australia Novels Contemporary Humor Literature Family Abandoned Philosophy Literary Fiction,February 12th 2008,530,Spiegel & Grau,English,0385521723,9780385521727,https://www.goodreads.com/book/show/1833852.A_Fraction_of_the_Whole,
Skulduggery Pleasant,Derek Landy Tom Percival,Fantasy Young Adult Mystery Adventure Fiction Fantasy Magic,April 3rd 2007,392,HarperCollins,English,0061231150,9780061231155,https://www.goodreads.com/book/show/284440.Skulduggery_Pleasant,
Inkspell,Cornelia Funke Anthea Bell,Fantasy Young Adult Adventure Childrens Fantasy Magic,October 1st 2005,635,The Chicken House,English,0439554004,9780439554008,https://www.goodreads.com/book/show/28195.Inkspell,
Faefever,Karen Marie Moning,Fantasy Urban Fantasy Fantasy Paranormal Fantasy Fairies Fae Romance Paranormal Romance Adult,September 16th 2008,327,Delacorte Press,English,0385341636,9780385341639,https://www.goodreads.com/book/show/2702704-faefever,
Born at Midnight,C.C. Hunter,Fantasy Paranormal Paranormal Vampires Fantasy Young Adult Shapeshifters Werewolves Fantasy Supernatural,March 29th 2011,398,St. Martin's Griffin,English,0312624670,9780312624675,https://www.goodreads.com/book/show/8705784-born-at-midnight,
Along for the Ride,Sarah Dessen,Young Adult Romance Contemporary,June 16th 2009,383,Viking Books for Young Readers,English,0670011940,9780670011940,https://www.goodreads.com/book/show/5664985-along-for-the-ride,
Mockingjay,Suzanne Collins,Young Adult Science Fiction Dystopia Fiction Fantasy Science Fiction Romance Adventure Young Adult Teen Apocalyptic Post Apocalyptic Action,August 24th 2010,392,Scholastic Press,English,0439023513,9780439023511,https://www.goodreads.com/book/show/7260188-mockingjay,
Something Blue,Emily Giffin,Womens Fiction Chick Lit Fiction Romance,March 21st 2006,338,Griffin,English,0312323867,9780312323868,https://www.goodreads.com/book/show/42155.Something_Blue,
Monsters of Men,Patrick Ness,Young Adult Science Fiction Dystopia Science Fiction,May 3rd 2010,603,Walker Books Ltd.,English,1406310271,9781406310276,https://www.goodreads.com/book/show/7540092-monsters-of-men,
Harry Potter Boxset,J.K. Rowling,Fantasy Young Adult Fiction,October 1st 2007,4100,Arthur A. Levine Books,English,0545044251,9780545044257,https://www.goodreads.com/book/show/862041.Harry_Potter_Boxset,
Twilight,Stephenie Meyer,Young Adult Fantasy Paranormal Vampires Fiction Fantasy Paranormal,September 6th 2006,498,Little; Brown and Company,English,0316015849,9780316015844,https://www.goodreads.com/book/show/41865.Twilight,
The Lovely Bones,Alice Sebold,Fiction Mystery Young Adult Contemporary Fantasy Mystery Crime Adult Fiction Adult Drama Novels,September 1st 2006,328,Little; Brown and Company,English,0316166685,9780316166683,https://www.goodreads.com/book/show/12232938-the-lovely-bones,
Divergent,Veronica Roth,Young Adult Science Fiction Dystopia Fiction Fantasy Science Fiction,February 28th 2012,487,Katherine Tegen Books,English,0062024035,9780062024039,https://www.goodreads.com/book/show/13335037-divergent,
Middlesex,Jeffrey Eugenides,Fiction Historical Historical Fiction Contemporary,September 16th 2002,529,Picador,English,0312422156,9780312422158,https://www.goodreads.com/book/show/2187.Middlesex,
The Lightning Thief,Rick Riordan,Fantasy Young Adult Fantasy Mythology Fiction,March 1st 2006,375,Disney Hyperion Books,English,0786838655,9780786838653,https://www.goodreads.com/book/show/28187.The_Lightning_Thief,
Atonement,Ian McEwan,Historical Historical Fiction Romance Classics Fiction Historical,February 25th 2003,351,Anchor Books,English,038572179X,9780385721790,https://www.goodreads.com/book/show/6867.Atonement,
The Shadow of the Wind,Carlos Ruiz Zafón Lucia Graves,Fiction Historical Historical Fiction Mystery Fantasy Writing Books About Books Historical Cultural Spain Gothic European Literature Spanish Literature Magical Realism,January 25th 2005,487,Penguin Books,English,0143034901,9780143034902,https://www.goodreads.com/book/show/1232.The_Shadow_of_the_Wind,
The Secret Life of Bees,Sue Monk Kidd,Fiction Historical Historical Fiction Young Adult Adult Fiction,January 28th 2003,336,Penguin Books,English,0142001740,9780142001745,https://www.goodreads.com/book/show/37435.The_Secret_Life_of_Bees,
City of Bones,Cassandra Clare,Young Adult Fantasy Paranormal Romance Fantasy Urban Fantasy Fantasy Fiction Paranormal Vampires Fantasy Supernatural Paranormal Angels Fantasy Magic,March 27th 2007,485,Margaret K. McElderry Books,English,1416914285,9781416914280,https://www.goodreads.com/book/show/256683.City_of_Bones,
Extremely Loud and Incredibly Close,Jonathan Safran Foer,Fiction Contemporary Historical Historical Fiction,April 4th 2006,326,Mariner Books,English,0618711651,9780618711659,https://www.goodreads.com/book/show/4588.Extremely_Loud_and_Incredibly_Close,
The Girl Who Played with Fire,Stieg Larsson Reg Keeland,Fiction Mystery Thriller Mystery Crime Thriller Mystery Thriller,July 28th 2009,503,Alfred A. Knopf,English,0307269981,9780307269980,https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire,
The Glass Castle,Jeannette Walls,Nonfiction Autobiography Memoir Biography,January 17th 2006,288,Scribner,English,074324754X,9780743247542,https://www.goodreads.com/book/show/7445.The_Glass_Castle,
My Sister's Keeper,Jodi Picoult,Fiction Womens Fiction Chick Lit Contemporary Drama Young Adult Adult Adult Fiction Realistic Fiction Family Novels,February 1st 2005,423,Washington Square Press,English,0743454537,9780743454537,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper,
Angels & Demons,Dan Brown,Mystery Suspense Thriller Mystery Thriller Adventure Mystery Crime Historical Historical Fiction Adult Thriller Contemporary Adult Fiction,April 1st 2006,736,Pocket Books,English,1416524797,9781416524793,https://www.goodreads.com/book/show/960.Angels_Demons,
Never Let Me Go,Kazuo Ishiguro,Fiction Science Fiction Science Fiction Dystopia,August 31st 2010,288,Vintage Books,English,1400078776,9781400078776,https://www.goodreads.com/book/show/6334.Never_Let_Me_Go,
Cloud Atlas,David Mitchell,Science Fiction Fiction Historical Historical Fiction Science Fiction Dystopia,August 17th 2004,509,Random House,English,0375507256,9780375507250,https://www.goodreads.com/book/show/49628.Cloud_Atlas,
The Host,Stephenie Meyer,Science Fiction Fiction Science Fiction Dystopia Young Adult Fantasy Paranormal Science Fiction Aliens,May 6th 2008,620,Little; Brown and Company,English,0316068047,9780316068048,https://www.goodreads.com/book/show/1656001.The_Host,
The Girl Who Kicked the Hornet's Nest,Stieg Larsson Reg Keeland,Fiction Mystery Thriller Mystery Crime Thriller Mystery Thriller Suspense,May 23rd 2010,563,Knopf,English,030726999X,9780307269997,https://www.goodreads.com/book/show/6892870-the-girl-who-kicked-the-hornet-s-nest,
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer Annie Barrows,Historical Historical Fiction Fiction Historical Romance Book Club War World War II,July 29th 2008,277,The Dial Press,English,0385340990,9780385340991,https://www.goodreads.com/book/show/2728527-the-guernsey-literary-and-potato-peel-pie-society,
